2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind ProjectAlertGroup
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind Project
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind Preference
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind Template
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind NodePool
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind RoleTemplate
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind ClusterAlert
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind Setting
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind Notifier
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind AuthConfig
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind NotificationTemplate
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind TemplateContent
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind MultiClusterAppRevision
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind Node
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind Token
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind CisConfig
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind FleetWorkspace
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind UserAttribute
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind ClusterTemplateRevision
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind ClusterAlertRule
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind SamlToken
2021/05/06 04:57:12 [INFO] APIVersion management.cattle.io/v3 Kind RkeAddon
2021/05/06 04:57:12 [INFO] APIVersion mgt.pandaria.io/v3 Kind SensitiveFilter
2021/05/06 04:57:12 [INFO] APIVersion project.cattle.io/v3 Kind App
2021/05/06 04:57:12 [INFO] APIVersion project.cattle.io/v3 Kind Pipeline
2021/05/06 04:57:12 [INFO] APIVersion project.cattle.io/v3 Kind PipelineExecution
2021/05/06 04:57:12 [INFO] APIVersion project.cattle.io/v3 Kind AppRevision
2021/05/06 04:57:12 [INFO] APIVersion project.cattle.io/v3 Kind SourceCodeProviderConfig
2021/05/06 04:57:12 [INFO] APIVersion project.cattle.io/v3 Kind SourceCodeRepository
2021/05/06 04:57:12 [INFO] APIVersion project.cattle.io/v3 Kind PipelineSetting
2021/05/06 04:57:12 [INFO] APIVersion project.cattle.io/v3 Kind SourceCodeCredential
2021/05/06 04:57:12 [INFO] ProxyToLeader: skip register proxy as no login limit settings
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=TemplateVersion
2021/05/06 04:57:15 [INFO] Watching metadata for project.cattle.io/v3, Kind=PipelineSetting
2021/05/06 04:57:15 [INFO] Watching metadata for storage.k8s.io/v1, Kind=CSINode
2021/05/06 04:57:15 [INFO] Watching metadata for project.cattle.io/v3, Kind=AppRevision
2021/05/06 04:57:15 [INFO] Watching metadata for /v1, Kind=PersistentVolumeClaim
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=ClusterAlert
2021/05/06 04:57:15 [INFO] Watching metadata for /v1, Kind=ConfigMap
2021/05/06 04:57:15 [INFO] Watching metadata for project.cattle.io/v3, Kind=SourceCodeRepository
2021/05/06 04:57:15 [INFO] Watching metadata for /v1, Kind=Secret
2021/05/06 04:57:15 [INFO] Watching metadata for /v1, Kind=Node
2021/05/06 04:57:15 [INFO] Watching metadata for catalog.cattle.io/v1, Kind=ClusterRepo
2021/05/06 04:57:15 [INFO] Watching metadata for admissionregistration.k8s.io/v1, Kind=MutatingWebhookConfiguration
2021/05/06 04:57:15 [INFO] Watching metadata for apiregistration.k8s.io/v1, Kind=APIService
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=RkeAddon
2021/05/06 04:57:15 [INFO] Watching metadata for /v1, Kind=Pod
2021/05/06 04:57:15 [INFO] Watching metadata for admissionregistration.k8s.io/v1, Kind=ValidatingWebhookConfiguration
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=ClusterMonitorGraph
2021/05/06 04:57:15 [INFO] Watching metadata for rbac.authorization.k8s.io/v1, Kind=RoleBinding
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=NodeDriver
2021/05/06 04:57:15 [INFO] Watching metadata for catalog.cattle.io/v1, Kind=Operation
2021/05/06 04:57:15 [INFO] Watching metadata for /v1, Kind=Namespace
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=ProjectNetworkPolicy
2021/05/06 04:57:15 [INFO] Watching metadata for networking.k8s.io/v1beta1, Kind=Ingress
2021/05/06 04:57:15 [INFO] Watching metadata for storage.k8s.io/v1, Kind=VolumeAttachment
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=ClusterCatalog
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=CisBenchmarkVersion
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=NodeTemplate
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=Feature
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=KontainerDriver
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=AuthConfig
2021/05/06 04:57:15 [INFO] Watching metadata for /v1, Kind=Event
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=Template
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=ClusterTemplateRevision
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=Token
2021/05/06 04:57:15 [INFO] Watching metadata for apps/v1, Kind=Deployment
2021/05/06 04:57:15 [INFO] Watching metadata for apps/v1, Kind=ControllerRevision
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=CatalogTemplateVersion
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=ClusterRoleTemplateBinding
2021/05/06 04:57:15 [INFO] Watching metadata for catalog.cattle.io/v1, Kind=App
2021/05/06 04:57:15 [INFO] Watching metadata for apps/v1, Kind=ReplicaSet
2021/05/06 04:57:15 [INFO] Watching metadata for autoscaling/v2beta2, Kind=HorizontalPodAutoscaler
2021/05/06 04:57:15 [INFO] Watching metadata for project.cattle.io/v3, Kind=SourceCodeCredential
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=MonitorMetric
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=RkeK8sSystemImage
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=GlobalDns
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=ProjectLogging
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=EtcdBackup
2021/05/06 04:57:15 [INFO] Watching metadata for networking.k8s.io/v1, Kind=NetworkPolicy
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=UserAttribute
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=RkeK8sServiceOption
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=PodSecurityPolicyTemplate
2021/05/06 04:57:15 [INFO] Watching metadata for /v1, Kind=PodTemplate
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=Group
2021/05/06 04:57:15 [INFO] Watching metadata for apiextensions.k8s.io/v1, Kind=CustomResourceDefinition
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=Setting
2021/05/06 04:57:15 [INFO] Watching metadata for storage.k8s.io/v1, Kind=CSIDriver
